latitude,longitude,avg_temp_c
58.7667,-111.1167,-0.7452
53.4333,-114.7167,1.1810
49.95,-97.1,1.0419
60.2333,-123.4667,-0.7903
49.8833,-97.1333,1.2581
51.4,-103.2667,0.6613
52.8167,-104.6,0.4935
50.2333,-116.9667,2.9839
48.7667,-91.6333,1.2097
49.3333,-124.4,3.8276
49.4,-124.6167,3.8645
45.8,-73.0,1.9806
50.6833,-127.3667,4.0065
57.9167,-72.9833,-0.3769
43.6767,-79.6306,2.8194
51.1333,-111.7,0.6905
45.8,-74.9833,1.8049
44.6333,-75.75,2.3000
54.8,-66.8,-0.1000
49.8,-112.1167,2.3867
54.8,-66.8,-0.2581
51.1833,-101.3667,0.5000
51.5833,-119.7833,2.3871
54.4167,-114.7667,0.7048
46.7167,-79.1,1.9516
49.5167,-115.4667,1.5500
45.3,-72.9,2.2500
43.8333,-77.15,2.8700
49.75,-77.8,0.9355
68.5333,-89.8,-1.6677
46.2,-73.6,1.5968
48.3,-71.1333,1.0600
49.7667,-77.8,0.8710
49.45,-123.7167,3.9161
46.8667,-72.4,1.3484
64.2333,-76.5333,0.0161
64.2333,-76.5333,-0.0387
61.25,-123.75,-1.4381
64.2333,-76.5333,-0.0129
45.0167,-74.75,2.3839
58.7333,-94.0667,-0.6033
47.3167,-71.15,0.8742
50.9333,-112.9333,1.3667
48.6,-71.7167,1.1300
56.0333,-96.5167,-0.3387
52.5833,-110.35,0.6381
41.95,-82.5167,2.8586
49.1167,-122.1167,4.4500
49.0833,-116.5,2.6419
49.7833,-86.9333,0.9097
49.7167,-124.9,3.9581
55.6833,-121.6333,0.8194
50.95,-115.1833,1.1774
56.65,-111.2167,0.0774
56.65,-111.2167,0.0935
49.2167,-102.9667,0.8516
48.6167,-72.4167,0.9935
50.1833,-61.8,1.2452
49.0333,-119.4333,2.9645
44.7167,-66.8,2.5677
46.2,-82.0167,1.8071
51.3833,-56.1,1.5840
49.1667,-105.9833,1.1097
49.2167,-102.9667,0.8613
52.4333,-113.6,0.8276
67.05,-126.0833,-2.3905
74.1333,-119.9833,-2.0241
53.45,-111.25,0.6810
50.0,-117.3667,2.7774
50.2167,-121.5833,2.8484
49.6333,-109.5167,1.3097
48.05,-77.7833,1.1806
50.8167,-111.0,1.0905
49.65,-93.7167,0.9452
48.05,-77.7833,1.2387
43.1833,-79.5667,2.9000
53.5833,-116.4667,1.2520
50.7,-114.15,1.5857
49.3167,-67.3833,1.7806
53.5833,-116.45,0.7129
50.7,-96.5667,1.0774
61.1,-94.0667,-1.0900
52.75,-113.95,1.2129
69.35,-124.0833,-1.5484
44.2333,-79.7833,2.5419
53.8167,-89.9,0.0167
53.8167,-89.9,0.0548
48.3,-70.9167,1.0710
55.4,-116.4833,0.6952
61.3667,-139.0333,-0.6516
49.5667,-99.0667,0.8581
49.6,-126.6167,4.3161
48.8667,-124.65,3.8194
45.7,-65.1667,1.8323
49.2667,-122.5667,3.6292
52.9833,-113.45,0.9905
46.4833,-70.2167,1.3706
53.8333,-114.5333,1.1619
50.1833,-112.4333,1.8048
52.5833,-111.4667,0.8952
45.95,-74.6167,1.8194
49.2833,-100.9833,0.8484
45.15,-71.8,2.0500
53.8,-118.45,0.8323
42.9833,-81.65,2.7097
49.55,-111.05,1.4952
55.5333,-102.35,0.1548
46.05,-71.2667,1.5258
46.1,-71.35,1.6806
72.0167,-94.2,-1.2267
43.6833,-80.7167,2.3774
48.55,-81.3833,1.2000
49.1833,-98.0833,1.2419
48.5667,-81.3833,1.1774
53.35,-117.8667,1.5150
55.6167,-118.3,0.5571
45.5,-74.3667,1.9288
49.1667,-57.4333,2.2750
44.4,-76.9,2.3774
53.3333,-112.5333,0.8238
49.5667,-119.65,2.8355
51.45,-112.6833,0.4414
50.1333,-122.95,2.8000
44.4,-65.2,2.5645
51.0667,-110.3167,0.9476
50.7,-120.45,2.6355
50.0167,-125.3,3.7233
46.1167,-64.6833,2.1548
49.1333,-123.0,3.7452
53.9167,-112.2833,0.4667
47.3333,-54.5833,2.6484
45.5333,-78.2667,1.8581
50.3667,-114.4167,1.5200
43.6667,-79.4,2.9839
50.2667,-111.7,1.3667
50.65,-70.5333,0.1903
45.9833,-74.0,1.5565
44.9833,-62.4833,2.4710
44.2167,-76.6,2.6097
50.3,-110.0833,1.2000
45.75,-70.6833,1.8145
61.9167,-113.7333,-0.9655
46.8,-71.3833,1.6452
46.5833,-72.2333,1.6948
43.6333,-79.8833,2.7034
50.1167,-120.8,2.2276
68.3167,-133.5167,-1.8742
48.8833,-67.1167,1.3548
55.8333,-108.4167,0.1129
48.5167,-68.4667,1.9097
69.1667,-140.15,-1.7214
45.2,-71.5,1.8790
53.35,-110.8833,0.5905
50.3667,-119.05,1.8161
50.2167,-119.2,2.5690
68.3,-133.4833,-2.0161
50.1167,-120.7833,2.2097
61.7667,-121.2333,-1.3484
52.1833,-127.4667,3.6037
50.7167,-99.5333,1.0903
51.2667,-102.4667,0.7097
60.7667,-137.5833,-0.3700
51.2667,-102.4667,0.6806
54.0,-113.4667,0.8190
61.7667,-121.2333,-1.3367
53.0167,-110.1,0.5905
50.1833,-61.7833,1.1968
53.5667,-112.3,0.8048
45.8667,-77.25,1.8935
45.2667,-72.1167,2.1790
53.7667,-126.0,1.6414
53.5333,-122.7,2.0241
46.7167,-72.0833,1.6613
48.4167,-123.3167,4.0581
52.4167,-114.9167,0.8065
53.1833,-112.25,0.6571
51.3,-117.5167,1.5613
53.1833,-111.7333,0.7048
50.1167,-91.9,0.8226
50.1167,-91.9,0.9129
50.2833,-64.7833,1.3145
56.0833,-118.4333,0.5667
43.7,-80.3833,2.5720
58.4667,-78.0833,-0.0710
43.7333,-80.3333,2.4226
54.1,-114.45,0.3903
48.8333,-124.05,3.9000
49.0333,-116.45,2.5645
52.5833,-110.7833,0.7524
56.3667,-94.7,-0.3484
67.8167,-115.1333,-1.6290
46.5333,-73.15,1.4968
52.8333,-111.1,0.4194
67.8167,-115.15,-1.5903
48.6667,-53.1167,2.5767
