latitude,longitude,temp_c
47.8571,-131.9184,0.0582
47.8571,-130.1020,3.4115
47.8571,-128.2857,57.8746
47.8571,-126.4694,245.2744
47.8571,-124.6531,323.5978
47.8571,-122.8367,-124.0072
47.8571,-121.0204,-455.1903
47.8571,-119.2041,-126.4067
47.8571,-117.3878,-13.8738
47.8571,-115.5714,121.1096
47.8571,-113.7551,675.4100
47.8571,-111.9388,598.7659
47.8571,-110.1224,-71.9212
47.8571,-108.3061,12.2896
47.8571,-106.4898,14.4627
47.8571,-104.6735,4.4086
47.8571,-102.8571,1.6017
47.8571,-101.0408,0.7413
47.8571,-99.2245,0.3578
47.8571,-97.4082,-0.3325
47.8571,-95.5918,1.4061
47.8571,-93.7755,2.3297
47.8571,-91.9592,5.2228
47.8571,-90.1429,10.8276
47.8571,-88.3265,11.9475
47.8571,-86.5102,7.1853
47.8571,-84.6939,0.6633
47.8571,-82.8776,-8.9799
47.8571,-81.0612,-0.5088
47.8571,-79.2449,3.4329
47.8571,-77.4286,30.8286
47.8571,-75.6122,34.0991
47.8571,-73.7959,-70.1029
47.8571,-71.9796,-63.6563
47.8571,-70.1633,-26.0546
47.8571,-68.3469,-17.5251
47.8571,-66.5306,-4.1955
47.8571,-64.7143,6.8748
47.8571,-62.8980,11.0574
47.8571,-61.0816,5.3282
47.8571,-59.2653,4.7500
47.8571,-57.4490,5.2942
47.8571,-55.6327,6.0302
47.8571,-53.8163,7.0902
47.8571,-52.0000,3.7158
48.6939,-141.0000,0.0000
48.6939,-139.1837,0.0000
48.6939,-137.3673,0.0000
48.6939,-135.5510,0.0013
48.6939,-133.7347,0.0116
48.6939,-131.9184,0.1277
48.6939,-130.1020,4.5803
48.6939,-128.2857,58.4526
48.6939,-126.4694,201.4371
48.6939,-124.6531,197.5443
48.6939,-122.8367,-181.6756
48.6939,-121.0204,-407.1288
48.6939,-119.2041,-117.4230
48.6939,-117.3878,-16.5934
48.6939,-115.5714,82.2546
48.6939,-113.7551,543.6696
48.6939,-111.9388,496.2745
48.6939,-110.1224,-37.4233
48.6939,-108.3061,43.6357
48.6939,-106.4898,23.5476
48.6939,-104.6735,6.5847
48.6939,-102.8571,2.5267
48.6939,-101.0408,1.6472
48.6939,-99.2245,1.7832
48.6939,-97.4082,2.2931
48.6939,-95.5918,3.1948
48.6939,-93.7755,3.1121
48.6939,-91.9592,4.8015
48.6939,-90.1429,8.4140
48.6939,-88.3265,10.2610
48.6939,-86.5102,6.4279
48.6939,-84.6939,1.7270
48.6939,-82.8776,-3.6862
48.6939,-81.0612,-0.3547
48.6939,-79.2449,3.4130
48.6939,-77.4286,23.2521
48.6939,-75.6122,28.7963
48.6939,-73.7959,-63.9918
48.6939,-71.9796,-70.1649
48.6939,-70.1633,-21.2183
48.6939,-68.3469,-7.5149
48.6939,-66.5306,-5.8373
48.6939,-64.7143,3.0406
48.6939,-62.8980,6.9496
48.6939,-61.0816,3.3261
48.6939,-59.2653,5.5362
48.6939,-57.4490,5.8663
48.6939,-55.6327,5.7877
48.6939,-53.8163,6.3826
48.6939,-52.0000,3.1114
49.5306,-141.0000,0.0000
49.5306,-139.1837,0.0000
49.5306,-137.3673,0.0004
49.5306,-135.5510,0.0090
49.5306,-133.7347,0.0674
49.5306,-131.9184,0.2931
49.5306,-130.1020,4.8296
49.5306,-128.2857,39.3512
49.5306,-126.4694,94.3794
49.5306,-124.6531,29.3240
49.5306,-122.8367,-214.2906
49.5306,-121.0204,-265.9922
49.5306,-119.2041,-76.4392
49.5306,-117.3878,-12.6458
49.5306,-115.5714,31.5943
49.5306,-113.7551,290.7404
49.5306,-111.9388,278.3952
49.5306,-110.1224,5.0532
49.5306,-108.3061,50.4310
49.5306,-106.4898,24.7382
49.5306,-104.6735,7.4781
49.5306,-102.8571,3.0900
49.5306,-101.0408,2.4756
49.5306,-99.2245,3.4237
49.5306,-97.4082,4.3764
49.5306,-95.5918,3.2159
49.5306,-93.7755,2.8516
49.5306,-91.9592,3.1185
49.5306,-90.1429,3.7183
49.5306,-88.3265,6.2737
49.5306,-86.5102,4.6136
49.5306,-84.6939,2.2568
49.5306,-82.8776,1.2056
49.5306,-81.0612,1.6950
49.5306,-79.2449,2.5653
49.5306,-77.4286,13.2404
49.5306,-75.6122,19.6548
49.5306,-73.7959,-42.8092
49.5306,-71.9796,-62.1516
49.5306,-70.1633,-26.3121
49.5306,-68.3469,-13.1212
49.5306,-66.5306,-7.6925
49.5306,-64.7143,0.6919
49.5306,-62.8980,4.0141
49.5306,-61.0816,2.3432
49.5306,-59.2653,5.6853
49.5306,-57.4490,5.2350
49.5306,-55.6327,4.7611
49.5306,-53.8163,4.7861
49.5306,-52.0000,2.0780
50.3673,-141.0000,0.0000
50.3673,-139.1837,0.0000
50.3673,-137.3673,0.0021
50.3673,-135.5510,0.0467
50.3673,-133.7347,0.2965
50.3673,-131.9184,0.7673
50.3673,-130.1020,4.3263
50.3673,-128.2857,14.4176
50.3673,-126.4694,-2.3650
50.3673,-124.6531,-102.2985
50.3673,-122.8367,-264.8154
50.3673,-121.0204,-163.5286
50.3673,-119.2041,-40.4347
50.3673,-117.3878,-8.2724
50.3673,-115.5714,4.0156
50.3673,-113.7551,104.5545
50.3673,-111.9388,107.3011
50.3673,-110.1224,11.9433
50.3673,-108.3061,19.0351
50.3673,-106.4898,15.7367
50.3673,-104.6735,6.8017
50.3673,-102.8571,3.1172
50.3673,-101.0408,2.8030
50.3673,-99.2245,4.8286
50.3673,-97.4082,4.7373
50.3673,-95.5918,0.7432
50.3673,-93.7755,1.5485
50.3673,-91.9592,1.6172
50.3673,-90.1429,0.6034
50.3673,-88.3265,3.1137
50.3673,-86.5102,2.8929
50.3673,-84.6939,2.0657
50.3673,-82.8776,3.2702
50.3673,-81.0612,2.8159
50.3673,-79.2449,1.5281
50.3673,-77.4286,5.6656
50.3673,-75.6122,10.0034
50.3673,-73.7959,-23.8964
50.3673,-71.9796,-44.5141
50.3673,-70.1633,-25.5601
50.3673,-68.3469,-16.5668
50.3673,-66.5306,-6.7654
50.3673,-64.7143,0.3534
